pond,ko05340,ko00564,ko00680,ko00562,ko00563,ko03030,ko00561,ko00440,ko00250,ko00740,ko04940,ko00010,ko00195,ko03450,ko00760,ko00920,ko00311,ko00310,ko04146,ko00600,ko04141,ko04142,ko00604,ko04260,ko05142,ko04540,ko00909,ko00513,ko04973,ko00510,ko05110,ko04974,ko04976,ko00450,ko01051,ko00565,ko00524,ko00300,ko05222,ko05416,ko00260,ko00190,ko03440,ko00750,ko00950,ko00592,ko00591,ko00590,ko00062,ko00061,ko03070,ko00253,ko03060,ko00380,ko00500,ko05120,ko04666,ko05322,ko04964,ko04962,ko04960,ko00625,ko00624,ko00627,ko00626,ko00621,ko00620,ko00623,ko00622,ko00270,ko00940,ko00941,ko01053,ko00943,ko00100,ko00945,ko05016,ko04145,ko00071,ko00072,ko05219,ko05215,ko05211,ko05210,ko01055,ko00902,ko04910,ko00531,ko00360,ko00633,ko00630,ko00363,ko00364,ko05130,ko04115,ko00121,ko04914,ko00430,ko02010,ko00130,ko04330,ko03050,ko00361,ko00040,ko00730,ko00362,ko01040,ko00603,ko03018,ko00281,ko00280,ko03013,ko04626,ko05200,ko00312,ko05020,ko05143,ko00523,ko00520,ko00521,ko05146,ko05145,ko00052,ko00053,ko00051,ko00401,ko00400,ko04020,ko00350,ko00480,ko00643,ko00642,ko00640,ko00720,ko00960,ko02020,ko00120,ko00965,ko03008,ko00290,ko04614,ko03410,ko05010,ko05012,ko00980,ko00410,ko00983,ko05150,ko00791,ko00790,ko00020,ko00710,ko00196,ko02060,ko00340,ko00785,ko00550,ko00650,ko05220,ko02030,ko03320,ko04612,ko04621,ko04622,ko00910,ko04971,ko00460,ko04970,ko00830,ko00780,ko00511,ko00970,ko00030,ko04972,ko00232,ko00230,ko04122,ko00540,ko05014,ko00660,ko03020,ko00982,ko03010,ko00140,ko05100,ko00860,ko05410,ko00330,ko00908,ko04930,ko03430,ko00906,ko00900,ko00901,ko00903,ko00471,ko00472,ko00473,ko05111,ko04210,ko00240,ko04011,ko00944,ko04113,ko04070,ko04640,ko04310,ko03420,ko00770,ko02040,ko04912,ko00670,ko04920,ko04144,ko00930,ko04112,ko05140,ko04370,ko04916,ko01056,ko04650,ko04662,ko04660,ko04360,ko04114,ko04010,ko04720,ko05412,ko00905,ko03015,ko05414,ko04320,ko04740,ko05214,ko04745,ko04012,ko04722
S8.201.Sed,2483.06,46002.51,73354.01,12921.62,55.0,52097.75,23289.22,2725.06,76990.24,18090.1,4320.39,79210.42,31111.65,3867.1,40059.86,27340.9,1936.67,28648.93,24173.07,6713.84,7973.33,4613.0,1963.5,2990.34,868.17,25.0,57.0,20.34,275.83,4254.28,205.0,1397.5,3.33,39021.94,6611.1,1330.56,5398.01,51728.65,1902.31,1902.31,75229.36,135416.64,71055.53,17274.01,5507.06,3270.59,2323.88,6535.22,85.17,51391.97,67461.53,12427.89,55961.92,38194.55,53597.17,2401.93,0.0,4.67,2359.83,4.0,3.33,15097.36,2953.5,20532.02,10649.43,2111.01,89082.86,16875.86,1663.59,65733.43,6182.83,1113.84,1110.34,75.0,1235.67,1709.0,9369.05,25.0,45312.36,13387.22,474.5,2204.72,3215.34,1902.31,4689.48,0.0,5879.11,2249.5,27018.23,9043.77,58029.56,4022.05,3747.18,25.0,1902.31,57.5,2204.72,12225.37,183393.21,24808.4,9.0,969.0,5553.35,27466.15,24768.86,28615.19,22522.26,3546.0,44340.82,15928.27,65568.99,5195.56,12425.21,7331.37,438.64,206.0,990.17,15953.08,89723.61,29519.15,1192.06,1902.31,35098.17,12045.73,38492.31,12462.49,70741.44,2.0,24072.71,33843.53,8979.14,3754.13,70892.74,100635.77,11503.11,146199.85,401.17,428.67,5136.38,62751.18,325.34,39394.17,9110.09,5017.32,9152.04,24958.32,19786.14,881.55,1382.83,28560.35,77689.68,48646.64,146.0,9236.33,47360.44,8470.88,60925.66,67233.6,9.0,48476.37,20117.0,2204.72,2204.72,113.0,53299.39,3.33,20860.0,3.33,3729.68,12327.6,9965.5,95887.66,59907.33,3.33,238.0,180151.69,27578.02,40868.4,3822.98,24623.16,53878.58,9891.54,198021.67,1681.67,93.67,65778.6,114.17,90997.9,4045.22,3770.94,62189.96,2725.33,46286.28,428.67,11076.23,11205.49,954.83,9619.32,7779.6,2168.98,137374.24,2140.21,147.0,3816.5,9901.94,0.0,9.0,34465.92,54417.69,65061.18,0.0,41181.42,10828.73,0.0,6393.56,46555.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S8.202.Sed,3736.83,57196.57,102558.53,16078.17,0.0,67388.46,31995.86,3786.0,100060.8,23414.87,5939.17,101745.79,73103.22,1311.66,51768.56,39221.9,1947.83,28268.17,26823.02,6346.66,12326.18,3192.0,1351.5,3646.87,908.33,0.0,0.0,39.67,891.34,5901.0,26.0,1862.34,98.34,50842.54,7690.01,839.32,5976.0,64430.93,2769.38,2769.38,91330.43,181915.62,94144.98,21456.2,7892.5,3246.68,1848.0,6963.0,5.33,62321.22,86484.02,15832.85,73057.43,36505.01,66257.34,5679.52,77.0,34.33,4832.68,11.0,77.34,19504.01,2564.5,18286.33,11643.02,2645.02,115064.67,20280.19,1751.34,90514.78,6177.34,1718.16,2637.84,19.0,1349.83,1406.5,12345.42,14.0,45768.68,12019.17,413.0,3718.84,3565.84,2769.38,5916.84,97.0,10406.01,1499.5,31951.24,13156.21,72558.82,3639.83,4371.49,0.0,2769.38,225.0,3718.84,15366.53,267819.71,42517.43,0.0,629.0,5830.32,29336.34,35413.38,27096.39,24258.0,2733.0,63964.08,13348.03,65653.38,7977.51,16715.2,10054.06,155.5,532.17,952.83,21739.38,115605.79,38153.72,1366.82,2769.38,39158.68,12477.0,51022.05,15966.86,93222.48,463.0,29731.36,43015.37,6576.01,3739.86,79856.95,129416.2,14391.18,192464.9,476.33,557.33,6985.02,76490.96,259.16,45656.55,11949.76,6359.91,11095.3,28038.53,21816.34,553.83,3486.68,36288.9,98628.66,66183.6,7075.0,8673.35,56869.39,11114.34,80918.79,74160.46,0.0,62140.58,21064.84,3732.84,3718.84,197.0,83254.04,77.34,20473.17,77.34,4625.82,18630.7,8471.5,123302.15,73108.56,77.34,146.0,235316.03,37686.59,58366.51,4519.38,29885.22,63060.55,11949.8,263036.85,1936.33,479.33,115459.09,75.83,118823.82,5378.84,5685.01,80220.8,8081.84,58762.08,460.33,10772.16,16481.53,744.84,11525.85,10760.9,3216.21,179339.61,2710.51,50.0,5130.34,13683.03,77.0,0.0,40323.7,66211.42,69692.67,77.0,55039.75,12337.17,77.0,5254.66,59906.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S9.231.Sed,2464.17,45408.79,72940.07,12974.68,0.0,52935.25,23597.27,2433.42,76317.49,18046.09,4196.42,80266.84,33023.0,2435.84,39579.6,25883.94,2076.25,27009.95,22049.03,5343.24,7862.75,3178.32,1332.33,3069.25,843.83,130.0,25.0,0.0,512.33,3808.16,29.0,1680.83,59.33,39080.11,6415.33,793.68,4740.67,51817.51,1903.08,1899.08,75912.58,136695.86,70877.01,17008.58,6215.66,3601.84,1570.33,6542.09,63.17,50435.04,70602.05,12597.51,56356.18,34942.92,48954.67,2898.67,0.0,38.67,2592.0,3.0,42.0,12416.1,1514.5,15674.02,9089.68,1774.75,88401.21,16247.01,1120.58,68158.68,5285.4,676.34,1711.0,437.0,1021.17,622.5,9804.17,130.0,41185.99,12401.35,414.5,2047.75,3094.75,1899.08,4711.33,10.0,6193.83,1452.33,26889.08,9464.0,59496.68,2099.42,3549.34,130.0,1899.08,0.0,2047.75,11072.25,182694.65,27904.25,0.0,1119.0,4745.84,25288.72,25661.78,26403.61,20702.59,2444.33,43071.18,12997.78,61041.39,5492.08,11944.09,7045.58,202.5,425.92,975.5,16118.06,85567.19,28875.9,1182.76,1899.08,31396.68,11231.67,37692.74,13260.41,72756.81,25.0,24492.26,30652.04,6929.91,4012.59,66880.3,100412.2,11641.25,153985.88,171.67,734.67,4970.75,61179.66,263.67,38749.17,9451.33,5168.33,7469.63,21695.04,18251.58,547.17,1641.75,27163.5,78111.59,47854.23,686.0,10458.26,47320.84,8203.25,61701.25,64446.71,0.0,51770.49,16314.2,2047.75,2047.75,182.0,52458.35,42.0,18198.99,42.0,3648.93,13979.93,7718.65,96750.1,56018.16,42.0,155.0,178269.09,29913.51,46270.29,3908.25,23626.0,54167.61,7952.96,197244.18,1340.17,464.67,64343.49,152.0,88455.81,4018.25,4040.75,61488.01,2358.99,46045.75,592.67,8616.35,11952.58,1130.5,9438.42,8075.51,2248.74,138171.06,2066.42,56.0,3010.34,9763.33,0.0,0.0,33507.68,53196.17,65924.76,0.0,41593.33,8928.85,0.0,4502.93,44858.1,4.0,4.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S9.232.Sed,5169.91,53418.09,98344.53,15092.31,0.0,65909.03,29807.71,3249.49,98762.58,24255.98,5390.41,94523.08,54544.47,1057.16,51596.87,37049.54,1347.33,27637.69,26488.03,5387.41,9867.24,3130.0,1565.0,6616.75,700.83,24.0,56.0,0.0,801.5,3174.41,76.5,1471.33,53.0,45262.1,5949.91,311.32,4037.33,64008.36,4094.0,4088.0,88269.16,168076.85,92475.17,21818.9,6421.74,3984.91,1052.75,8527.82,76.33,56853.49,89711.41,14627.31,68223.94,35506.02,55044.51,8072.99,0.0,33.33,2671.41,14.0,53.0,12742.14,1271.5,16539.05,12975.98,3255.25,111014.46,20896.22,1308.5,87332.99,5252.5,440.41,2094.83,213.5,787.83,563.5,16104.49,24.0,46507.81,12196.22,500.0,3758.08,3836.33,4088.0,4761.83,0.0,7607.24,1659.0,28921.22,9540.33,73924.1,1633.58,3610.15,24.0,4088.0,6.5,3758.08,16333.82,290085.42,42597.8,0.0,340.0,4411.73,26008.22,30552.38,31307.2,23602.88,2533.5,60099.77,15941.04,69629.03,7479.08,18852.82,11688.41,354.0,432.83,783.83,18464.66,100288.98,31581.06,806.57,4144.0,33095.71,11893.9,42397.72,15632.24,88970.19,246.0,30905.21,49684.0,6358.66,6460.91,77545.22,120006.38,13073.32,246524.04,56.83,146.33,7589.58,72726.78,244.66,44789.78,16270.58,10698.75,13976.37,30842.19,20218.89,260.83,2503.66,34178.8,94183.5,58186.54,5051.0,17086.74,55817.28,9880.41,75042.36,78621.56,0.0,100993.15,20176.29,3758.08,3758.08,182.0,83957.77,53.0,20494.73,53.0,3833.07,18839.15,7928.0,112175.48,66217.76,53.0,93.5,229772.95,39588.88,62491.24,6798.16,28960.48,59963.34,14384.87,235839.39,784.33,424.83,96327.62,99.33,117156.64,4982.83,5496.08,76184.76,4921.5,55217.12,140.33,10849.14,14522.07,570.5,10684.99,16988.82,4454.08,171578.69,3768.83,10.0,5392.41,13794.91,0.0,0.0,36114.12,61626.53,100367.07,0.0,53331.88,9348.73,0.0,4670.48,54895.44,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S10.222.Sed,1532.0,26319.19,46407.43,7309.02,0.0,32166.21,14235.97,1371.59,48799.16,10628.79,2729.59,48889.98,29881.72,884.5,25000.83,17252.49,880.25,15388.31,13634.06,3733.25,5325.43,2378.0,983.0,2012.11,365.0,31.0,0.0,0.0,450.34,2302.0,0.0,1145.34,36.34,24284.15,3692.18,505.0,3186.5,30642.44,1358.63,1358.63,44698.89,82427.3,43935.82,10973.29,3724.34,1885.02,869.5,4287.93,5.0,28885.78,44159.7,6786.86,33727.44,19044.65,31784.38,2729.86,0.0,87.0,1740.52,0.0,36.34,7685.11,945.5,9014.86,5963.7,1271.27,54507.72,9399.2,695.59,42542.32,3469.09,315.0,1337.34,103.0,395.0,379.0,6588.08,31.0,23991.69,6792.7,165.0,1650.09,1893.09,1358.63,2661.84,0.0,3948.68,1197.0,15862.51,5648.36,35720.52,1318.75,2122.34,31.0,1358.63,16.0,1650.09,7317.95,126705.53,19365.19,0.0,177.0,2867.84,14754.11,14871.31,15248.19,11044.45,1718.0,28254.6,8206.15,35626.34,4015.09,8017.45,4901.81,58.0,306.59,342.5,10124.79,54139.16,17931.97,845.25,1358.63,19878.7,6795.18,23594.97,7710.11,44000.98,160.0,14647.31,21238.44,3913.43,2049.45,38749.77,61241.22,6915.27,97261.56,69.0,267.0,3165.27,37567.8,117.5,22206.24,6093.58,3443.4,5220.43,13968.58,10712.11,361.0,1657.77,17777.74,47930.07,29910.35,2743.0,5015.61,28287.08,5225.43,37913.21,39852.52,0.0,31705.19,10729.38,1650.09,1650.09,22.0,36320.32,36.34,11593.68,36.34,2028.25,8744.95,5729.0,57824.25,35423.6,36.34,29.0,110098.15,17239.92,28014.46,2247.97,14480.22,33087.85,5591.43,119719.2,771.5,319.5,45967.74,88.5,57582.36,2671.09,2562.59,37748.8,2468.34,28116.51,267.0,4770.02,7388.45,465.84,5867.77,5627.9,1547.13,86162.87,1513.93,145.0,2033.68,6337.86,0.0,0.0,19537.72,31777.1,40553.49,0.0,25731.42,6071.02,0.0,2799.93,27471.19,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S10.221.Sed,3827.08,48154.75,73830.0,15729.52,0.0,54512.56,26598.82,3042.58,80159.46,19055.88,4781.36,83603.33,36665.88,3631.22,42616.26,30344.07,2836.72,33831.96,27991.76,6099.22,7371.72,3853.0,1605.0,3731.44,1425.86,82.0,94.0,0.0,388.72,3853.5,54.0,2208.53,5.0,42425.77,6142.72,1864.44,5247.44,52449.48,2182.94,2168.94,80041.22,140767.92,74214.17,18375.3,6103.72,4522.72,2846.72,8209.44,208.0,53224.78,71780.28,12377.3,56031.34,46347.73,50602.83,2807.72,0.0,100.86,3326.44,0.0,5.0,15872.52,3234.5,23153.85,13426.0,2704.36,95922.02,17785.74,2404.5,71827.22,6515.38,618.72,2271.44,448.0,1309.36,1569.5,11215.74,82.0,55307.76,17325.88,490.86,2342.86,3423.86,2168.94,4590.72,72.0,6396.72,1801.0,32792.93,7854.72,64373.94,4745.72,4645.58,82.0,2168.94,135.0,2342.86,13032.94,207689.9,30017.82,0.0,1134.0,6702.58,26469.46,24936.85,36039.18,24099.74,3083.86,46978.93,20909.64,79568.2,5295.72,13049.76,7949.66,467.36,988.0,1300.36,15789.38,87128.35,29696.57,1671.0,2168.94,33086.85,13508.88,38421.9,12540.44,70724.42,111.0,28846.96,40825.22,9803.39,5312.22,75850.92,103133.22,12830.08,167964.42,683.86,573.0,5673.22,61999.06,788.5,42769.32,10293.24,6080.38,12753.68,29896.82,20595.74,705.5,2468.58,30751.04,82047.42,47813.82,2442.5,8623.58,51927.56,8058.22,63805.53,75553.5,0.0,49105.5,23000.6,2342.86,2342.86,104.0,59131.64,5.0,21786.29,5.0,4773.08,14284.66,8537.0,95078.75,58377.51,5.0,259.5,190152.7,28646.32,40695.76,5392.74,22904.88,59544.78,13598.54,196123.08,2014.5,432.0,73200.76,482.5,99427.48,4190.86,3960.36,63820.59,3503.36,49176.85,546.0,13675.94,12003.88,1238.0,9756.22,8481.96,2432.3,143785.33,2663.22,154.0,3858.58,10243.66,36.0,0.0,35786.68,52136.45,61878.56,0.0,43403.46,11948.3,0.0,7970.94,46013.42,14.0,14.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11.242.Sed,1253.51,20198.49,34533.72,5643.55,0.0,25578.18,10531.61,812.35,37992.25,8192.89,2185.85,37600.58,20145.29,669.34,19287.14,13008.45,805.34,11695.6,11010.1,4045.34,4120.86,2243.0,957.0,1245.18,477.84,16.0,59.0,0.0,336.34,1994.02,59.0,1275.67,26.67,19050.8,2722.35,106.68,2611.18,25080.99,674.19,664.19,36163.72,64512.48,34698.07,8778.23,2924.02,1371.85,415.0,2994.19,70.67,23004.03,33288.23,5497.05,27690.83,14058.28,24884.18,1915.53,0.0,16.34,1267.36,0.0,26.67,5324.09,330.17,6059.23,3785.87,619.18,40670.33,7474.07,466.17,32153.09,3045.01,360.85,1179.01,173.0,718.01,317.51,4386.89,16.0,17804.01,4285.88,200.5,1186.51,1516.51,664.19,2406.51,0.0,2723.03,1071.0,11096.77,3128.36,26440.87,737.84,1639.7,16.0,664.19,26.0,1186.51,5459.71,77235.18,13993.48,0.0,294.0,1826.55,11644.57,11965.44,9293.94,8754.91,1646.0,22932.83,5279.57,26397.9,2909.69,5326.04,3377.21,84.5,198.34,551.34,8383.38,43931.97,14895.25,627.85,719.19,17064.92,4540.37,19395.94,5945.2,35096.89,85.67,9635.93,15412.69,2700.18,1408.19,29814.92,48148.8,5336.37,64763.52,69.67,322.67,2486.02,28876.02,264.84,17930.11,3902.55,1948.7,3656.75,10137.79,9473.55,152.34,931.36,14318.61,38141.54,23084.49,1141.05,3601.36,23228.81,3977.36,30287.52,27208.23,0.0,19549.75,8525.08,1186.51,1186.51,36.0,25960.34,26.67,9226.04,26.67,1473.02,6418.88,5847.67,47219.77,27784.02,26.67,51.0,87390.64,12923.79,22612.09,1252.2,11277.24,27500.85,3821.25,97801.23,776.67,172.34,29315.69,112.17,45373.16,2311.51,2044.18,30117.22,1595.53,23189.8,314.67,3365.05,5781.55,312.67,4703.36,4122.07,856.03,69429.43,1063.18,22.0,1542.7,4701.2,0.0,12.0,16160.6,24950.32,23104.3,0.0,20892.12,5278.7,0.0,1520.86,21528.66,10.0,22.0,8.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11.241.Sed,1020.34,23391.74,36685.22,7098.19,0.0,27038.22,11305.04,1236.01,38575.92,9200.02,2237.34,39646.75,15930.03,1643.34,20216.88,13367.54,932.17,14543.06,12051.72,2420.84,3809.51,1456.0,596.0,2309.0,543.17,11.0,31.0,0.0,130.0,1596.84,8.0,773.0,0.0,18962.39,2978.84,619.68,2407.17,26141.89,1169.0,1169.0,37143.75,70229.65,36378.41,8792.35,2882.51,1781.84,899.0,3393.18,120.67,25593.76,35881.59,6276.69,29046.06,18928.56,23461.07,1306.01,0.0,16.67,1285.84,0.0,0.0,6258.86,1061.0,8659.03,5278.68,997.0,45337.29,8616.03,632.5,33457.26,2455.5,327.84,474.67,69.0,511.67,623.0,5957.51,11.0,23058.6,7202.53,156.5,1147.17,1595.67,1169.0,2349.17,0.0,2955.51,639.0,13899.86,4141.17,31461.4,1706.67,2021.35,11.0,1169.0,12.0,1147.17,5481.68,89245.33,13761.2,0.0,387.0,2764.02,11974.03,12342.54,13839.05,10863.87,1260.0,22996.06,8119.87,32582.13,2480.17,6532.18,3911.84,233.5,381.67,534.67,7744.84,41471.6,14319.02,640.68,1169.0,15700.37,5679.35,17672.03,6485.01,36265.06,12.0,12192.54,18150.75,3986.67,2001.84,34645.28,50555.62,5988.18,79784.12,146.67,250.67,2901.17,31533.72,202.84,19650.38,5598.17,3555.0,5123.88,12482.56,9043.36,316.67,521.34,14599.7,39565.75,24084.21,0.0,4882.01,24283.72,3908.84,31941.06,34587.6,0.0,25874.1,9755.71,1147.17,1147.17,34.0,25553.23,0.0,8966.85,0.0,2065.68,7036.35,3408.0,49065.1,28136.07,0.0,75.0,91491.71,14839.37,23102.01,2375.34,12716.52,27293.41,5434.88,100704.86,510.67,49.67,31262.88,111.17,44895.27,2088.67,1884.17,31287.07,1180.5,23581.71,242.67,4992.86,5849.18,632.5,5029.51,4496.68,1216.67,70095.64,1281.67,37.0,1784.34,5158.34,0.0,0.0,16996.38,27126.39,38327.68,0.0,21819.87,5207.52,0.0,2793.52,23526.06,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S12.212.Sed,1487.42,28466.03,49388.91,7909.47,0.0,34579.21,15404.32,1261.75,51191.96,11442.6,3016.47,51973.43,33572.76,778.28,27081.7,17884.06,967.78,15683.51,13998.21,3923.28,5594.44,2368.0,813.5,2177.38,520.14,5.0,9.0,0.0,443.61,2673.5,17.0,1133.8,45.33,25713.03,3686.94,243.06,3419.06,33134.3,1364.37,1350.37,47573.21,90518.93,47190.42,11981.18,3795.11,1854.77,761.78,4402.22,17.0,31847.83,46627.12,7863.52,37650.94,19602.07,33329.48,2596.6,0.0,33.64,1714.55,0.0,45.33,7849.8,833.5,8998.97,5690.15,1198.63,57623.87,10571.91,821.33,44419.87,3362.45,478.28,998.39,57.0,596.14,570.0,6636.72,8.0,24811.52,6473.27,299.64,1639.47,1983.47,1350.37,3024.61,0.0,4219.94,1101.5,15796.19,5818.1,37634.8,1303.78,2377.75,5.0,1350.37,17.5,1639.47,7433.21,124397.46,20754.96,0.0,405.0,2878.75,15102.36,16638.62,14149.1,12449.91,1438.64,31203.52,7502.16,35423.38,3880.61,8071.89,4987.31,56.14,180.83,542.14,11292.1,58050.57,19905.57,833.0,1359.37,20823.3,6834.78,25005.24,8496.38,48406.84,207.0,14567.01,22782.06,3888.27,2009.93,40750.32,65783.17,7506.91,98234.05,111.64,293.0,3615.77,40837.54,195.0,23858.81,6322.72,3564.42,5477.98,13882.14,11277.58,107.0,1778.41,19393.59,50970.17,32068.63,3079.0,4717.24,30187.9,5589.44,40427.24,39396.24,0.0,29157.53,11330.21,1642.47,1639.47,32.0,36654.7,45.33,12081.37,45.33,2084.92,9444.49,5072.5,63956.0,37683.94,45.33,53.0,119203.6,19450.47,31365.01,2042.4,16100.26,35550.67,5787.12,131707.07,1222.0,471.0,47734.12,97.0,60341.59,2842.47,2799.47,40777.01,2767.97,30440.77,293.0,5004.05,7707.77,432.83,6111.77,5839.34,1478.01,93239.86,1400.44,60.0,2438.08,6993.66,0.0,0.0,21310.96,34744.5,38774.32,0.0,28319.83,6550.19,0.0,2805.72,29779.36,14.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
